Year,Area of Residence,VALUE
2008,Carlow,20.7
2008,Dublin City,14.5
2008,South Dublin,18.1
2008,Fingal,21.7
2008,Dun Laoghaire-Rathdown,13.5
2008,Kildare,20.5
2008,Kilkenny,15.5
2008,Laois,19.5
2008,Longford,20.2
2008,Louth,17.1
2008,Meath,21.2
2008,Offaly,17.1
2008,Westmeath,18.0
2008,Wexford,18.4
2008,Wicklow,19.0
2008,Clare,15.9
2008,Cork City,12.9
2008,Cork County,18.0
2008,Kerry,14.2
2008,Limerick City,15.0
2008,Limerick County,17.1
2008,Tipperary,
2008,North Tipperary,18.3
2008,South Tipperary,14.3
2008,Waterford City,18.7
2008,Waterford County,16.3
2008,Galway City,14.0
2008,Galway County,18.6
2008,Leitrim,16.9
2008,Mayo,14.6
2008,Roscommon,14.8
2008,Sligo,15.2
2008,Ulster (part of),15.8
2008,Cavan,18.9
2008,Donegal,14.7
2008,Monaghan,15.1
2008,Border,16.0
2008,Midland,18.1
2008,West,16.3
2008,Dublin,16.8
2008,Mid-East,19.6
2008,Mid-West,16.8
2008,South-East,16.9
2008,South-West,16.2
2009,Carlow,18.8
2009,Dublin City,15.0
2009,South Dublin,17.9
2009,Fingal,21.8
2009,Dun Laoghaire-Rathdown,14.1
2009,Kildare,20.5
2009,Kilkenny,15.4
2009,Laois,19.9
2009,Longford,19.8
2009,Louth,16.2
2009,Meath,20.5
2009,Offaly,16.9
2009,Westmeath,17.8
2009,Wexford,17.4
2009,Wicklow,18.6
2009,Clare,16.3
2009,Cork City,14.0
2009,Cork County,17.9
2009,Kerry,14.8
2009,Limerick City,14.0
2009,Limerick County,17.6
2009,Tipperary,
2009,North Tipperary,17.9
2009,South Tipperary,15.5
2009,Waterford City,17.5
2009,Waterford County,15.8
2009,Galway City,13.7
2009,Galway County,17.5
2009,Leitrim,16.0
2009,Mayo,14.0
2009,Roscommon,14.9
2009,Sligo,15.5
2009,Ulster (part of),15.7
2009,Cavan,18.3
2009,Donegal,15.2
2009,Monaghan,14.2
2009,Border,15.7
2009,Midland,18.1
2009,West,15.7
2009,Dublin,17.1
2009,Mid-East,19.3
2009,Mid-West,16.9
2009,South-East,16.4
2009,South-West,16.5
2010,Carlow,18.1
2010,Dublin City,16.0
2010,South Dublin,18.1
2010,Fingal,20.2
2010,Dun Laoghaire-Rathdown,13.8
2010,Kildare,19.1
2010,Kilkenny,15.2
2010,Laois,17.9
2010,Longford,17.5
2010,Louth,16.0
2010,Meath,19.6
2010,Offaly,16.3
2010,Westmeath,17.8
2010,Wexford,15.7
2010,Wicklow,18.8
2010,Clare,14.4
2010,Cork City,14.1
2010,Cork County,17.1
2010,Kerry,13.5
2010,Limerick City,13.6
2010,Limerick County,17.5
2010,Tipperary,
2010,North Tipperary,17.5
2010,South Tipperary,13.6
2010,Waterford City,18.8
2010,Waterford County,14.8
2010,Galway City,16.1
2010,Galway County,16.6
2010,Leitrim,14.9
2010,Mayo,14.2
2010,Roscommon,14.1
2010,Sligo,14.5
2010,Ulster (part of),14.8
2010,Cavan,16.8
2010,Donegal,13.9
2010,Monaghan,14.6
2010,Border,15.1
2010,Midland,17.3
2010,West,15.5
2010,Dublin,17.0
2010,Mid-East,19.2
2010,Mid-West,16.0
2010,South-East,15.7
2010,South-West,15.8
2011,Carlow,18.1
2011,Dublin City,15.7
2011,South Dublin,18.9
2011,Fingal,20.2
2011,Dun Laoghaire-Rathdown,13.8
2011,Kildare,18.3
2011,Kilkenny,14.9
2011,Laois,16.6
2011,Longford,16.1
2011,Louth,15.3
2011,Meath,19.0
2011,Offaly,16.2
2011,Westmeath,16.1
2011,Wexford,15.7
2011,Wicklow,16.5
2011,Clare,14.8
2011,Cork City,13.5
2011,Cork County,16.7
2011,Kerry,14.0
2011,Limerick City,13.6
2011,Limerick County,17.2
2011,Tipperary,
2011,North Tipperary,16.8
2011,South Tipperary,13.8
2011,Waterford City,17.9
2011,Waterford County,14.4
2011,Galway City,15.6
2011,Galway County,16.3
2011,Leitrim,14.4
2011,Mayo,13.9
2011,Roscommon,13.5
2011,Sligo,14.3
2011,Ulster (part of),14.6
2011,Cavan,17.3
2011,Donegal,13.5
2011,Monaghan,14.5
2011,Border,14.7
2011,Midland,16.3
2011,West,15.1
2011,Dublin,17.1
2011,Mid-East,18.0
2011,Mid-West,15.8
2011,South-East,15.5
2011,South-West,15.5
2012,Carlow,16.8
2012,Dublin City,15.3
2012,South Dublin,18.4
2012,Fingal,20.2
2012,Dun Laoghaire-Rathdown,13.6
2012,Kildare,17.2
2012,Kilkenny,14.5
2012,Laois,15.7
2012,Longford,16.3
2012,Louth,15.2
2012,Meath,17.1
2012,Offaly,15.0
2012,Westmeath,16.7
2012,Wexford,15.2
2012,Wicklow,16.3
2012,Clare,14.5
2012,Cork City,12.1
2012,Cork County,16.5
2012,Kerry,13.5
2012,Limerick City,14.7
2012,Limerick County,15.3
2012,Tipperary,
2012,North Tipperary,14.6
2012,South Tipperary,13.3
2012,Waterford City,17.2
2012,Waterford County,12.9
2012,Galway City,16.4
2012,Galway County,15.5
2012,Leitrim,14.2
2012,Mayo,13.4
2012,Roscommon,13.4
2012,Sligo,14.8
2012,Ulster (part of),13.8
2012,Cavan,15.7
2012,Donegal,12.8
2012,Monaghan,13.7
2012,Border,14.3
2012,Midland,15.9
2012,West,14.7
2012,Dublin,16.8
2012,Mid-East,17.0
2012,Mid-West,14.8
2012,South-East,14.8
2012,South-West,15.1
2013,Carlow,15.8
2013,Dublin City,15.2
2013,South Dublin,17.0
2013,Fingal,19.3
2013,Dun Laoghaire-Rathdown,13.6
2013,Kildare,16.1
2013,Kilkenny,13.8
2013,Laois,14.8
2013,Longford,15.3
2013,Louth,15.9
2013,Meath,16.9
2013,Offaly,13.7
2013,Westmeath,15.2
2013,Wexford,13.9
2013,Wicklow,14.9
2013,Clare,12.8
2013,Cork City,12.6
2013,Cork County,15.5
2013,Kerry,12.2
2013,Limerick City,15.0
2013,Limerick County,14.3
2013,Tipperary,
2013,North Tipperary,14.8
2013,South Tipperary,13.5
2013,Waterford City,17.0
2013,Waterford County,13.6
2013,Galway City,16.4
2013,Galway County,14.8
2013,Leitrim,14.4
2013,Mayo,13.1
2013,Roscommon,13.2
2013,Sligo,13.8
2013,Ulster (part of),13.5
2013,Cavan,15.5
2013,Donegal,12.3
2013,Monaghan,14.2
2013,Border,14.1
2013,Midland,14.7
2013,West,14.3
2013,Dublin,16.2
2013,Mid-East,16.1
2013,Mid-West,14.0
2013,South-East,14.3
2013,South-West,14.3
2014,Carlow,16.8
2014,Dublin City,15.0
2014,South Dublin,16.9
2014,Fingal,18.4
2014,Dun Laoghaire-Rathdown,13.6
2014,Kildare,15.9
2014,Kilkenny,13.6
2014,Laois,14.3
2014,Longford,14.1
2014,Louth,15.1
2014,Meath,15.7
2014,Offaly,14.5
2014,Westmeath,15.4
2014,Wexford,14.2
2014,Wicklow,14.4
2014,Clare,12.5
2014,Cork City,12.9
2014,Cork County,14.7
2014,Kerry,11.8
2014,Limerick City,15.6
2014,Limerick County,13.8
2014,Tipperary,
2014,North Tipperary,13.4
2014,South Tipperary,12.8
2014,Waterford City,16.4
2014,Waterford County,12.5
2014,Galway City,15.8
2014,Galway County,14.4
2014,Leitrim,12.7
2014,Mayo,12.8
2014,Roscommon,12.6
2014,Sligo,12.9
2014,Ulster (part of),12.9
2014,Cavan,14.7
2014,Donegal,11.7
2014,Monaghan,13.7
2014,Border,13.4
2014,Midland,14.6
2014,West,13.9
2014,Dublin,15.9
2014,Mid-East,15.5
2014,Mid-West,13.6
2014,South-East,14.1
2014,South-West,13.8
2015,Carlow,14.5
2015,Dublin City,14.2
2015,South Dublin,15.3
2015,Fingal,16.8
2015,Dun Laoghaire-Rathdown,13.0
2015,Kildare,15.3
2015,Kilkenny,12.7
2015,Laois,14.2
2015,Longford,14.4
2015,Louth,14.7
2015,Meath,14.5
2015,Offaly,12.7
2015,Westmeath,14.1
2015,Wexford,13.5
2015,Wicklow,14.1
2015,Clare,13.0
2015,Cork City,12.8
2015,Cork County,14.5
2015,Kerry,11.5
2015,Limerick City,14.4
2015,Limerick County,14.1
2015,Tipperary,
2015,North Tipperary,14.2
2015,South Tipperary,12.4
2015,Waterford City,14.1
2015,Waterford County,13.0
2015,Galway City,14.7
2015,Galway County,13.9
2015,Leitrim,13.0
2015,Mayo,12.1
2015,Roscommon,11.9
2015,Sligo,12.3
2015,Ulster (part of),12.8
2015,Cavan,14.2
2015,Donegal,11.9
2015,Monaghan,13.3
2015,Border,13.2
2015,Midland,13.8
2015,West,13.2
2015,Dublin,14.8
2015,Mid-East,14.7
2015,Mid-West,13.8
2015,South-East,13.3
2015,South-West,13.6
2016,Carlow,13.3
2016,Dublin City,13.5
2016,South Dublin,14.8
2016,Fingal,16.5
2016,Dun Laoghaire-Rathdown,12.7
2016,Kildare,14.7
2016,Kilkenny,12.1
2016,Laois,13.3
2016,Longford,14.9
2016,Louth,13.9
2016,Meath,14.1
2016,Offaly,12.7
2016,Westmeath,14.1
2016,Wexford,12.6
2016,Wicklow,13.4
2016,Clare,12.4
2016,Cork City,11.8
2016,Cork County,13.4
2016,Kerry,11.7
2016,Limerick City,14.7
2016,Limerick County,13.0
2016,Tipperary,
2016,North Tipperary,12.7
2016,South Tipperary,13.0
2016,Waterford City,11.6
2016,Waterford County,13.6
2016,Galway City,14.8
2016,Galway County,13.6
2016,Leitrim,13.0
2016,Mayo,11.9
2016,Roscommon,11.7
2016,Sligo,12.0
2016,Ulster (part of),12.7
2016,Cavan,14.1
2016,Donegal,11.9
2016,Monaghan,13.1
2016,Border,12.9
2016,Midland,13.6
2016,West,13.0
2016,Dublin,14.3
2016,Mid-East,14.1
2016,Mid-West,13.0
2016,South-East,12.7
2016,South-West,12.8
2017,Carlow,13.4
2017,Dublin City,13.0
2017,South Dublin,17.8
2017,Fingal,15.1
2017,Dun Laoghaire-Rathdown,9.3
2017,Kildare,14.0
2017,Kilkenny,11.7
2017,Laois,13.9
2017,Longford,13.1
2017,Louth,13.3
2017,Meath,13.6
2017,Offaly,12.7
2017,Westmeath,14.2
2017,Wexford,12.6
2017,Wicklow,12.8
2017,Clare,11.9
2017,Cork City,11.1
2017,Cork County,13.0
2017,Kerry,11.2
2017,Limerick City,13.5
2017,Limerick County,13.0
2017,Tipperary,
2017,North Tipperary,12.7
2017,South Tipperary,12.2
2017,Waterford City,11.8
2017,Waterford County,12.2
2017,Galway City,12.1
2017,Galway County,13.4
2017,Leitrim,12.3
2017,Mayo,11.4
2017,Roscommon,11.7
2017,Sligo,11.3
2017,Ulster (part of),12.2
2017,Cavan,13.7
2017,Donegal,11.4
2017,Monaghan,12.4
2017,Border,12.4
2017,Midland,13.6
2017,West,12.4
2017,Dublin,13.5
2017,Mid-East,13.5
2017,Mid-West,12.7
2017,South-East,12.3
2017,South-West,12.3
2018,Carlow,14.3
2018,Dublin City,12.5
2018,South Dublin,13.9
2018,Fingal,14.9
2018,Dun Laoghaire-Rathdown,11.4
2018,Kildare,13.3
2018,Kilkenny,11.1
2018,Laois,12.1
2018,Longford,13.2
2018,Louth,12.9
2018,Meath,13.0
2018,Offaly,11.8
2018,Westmeath,13.4
2018,Wexford,11.8
2018,Wicklow,11.5
2018,Clare,11.4
2018,Cork City,10.8
2018,Cork County,12.9
2018,Kerry,11.0
2018,Limerick City,13.6
2018,Limerick County,12.5
2018,Tipperary,12.7
2018,North Tipperary,
2018,South Tipperary,
2018,Waterford City,13.2
2018,Waterford County,11.4
2018,Galway City,12.5
2018,Galway County,12.7
2018,Leitrim,12.7
2018,Mayo,11.0
2018,Roscommon,10.8
2018,Sligo,12.0
2018,Ulster (part of),12.3
2018,Cavan,13.2
2018,Donegal,11.6
2018,Monaghan,13.1
2018,Border,12.3
2018,Midland,12.6
2018,West,11.9
2018,Dublin,13.1
2018,Mid-East,12.8
2018,Mid-West,12.4
2018,South-East,12.1
2018,South-West,12.1
2019,Carlow,12.7
2019,Dublin City,12.1
2019,South Dublin,13.6
2019,Fingal,13.7
2019,Dun Laoghaire-Rathdown,10.8
2019,Kildare,12.9
2019,Kilkenny,10.7
2019,Laois,12.5
2019,Longford,13.7
2019,Louth,12.4
2019,Meath,13.2
2019,Offaly,11.4
2019,Westmeath,12.4
2019,Wexford,11.6
2019,Wicklow,11.7
2019,Clare,10.9
2019,Cork City,10.5
2019,Cork County,12.1
2019,Kerry,10.3
2019,Limerick City,13.7
2019,Limerick County,11.3
2019,Tipperary,11.2
2019,North Tipperary,
2019,South Tipperary,
2019,Waterford City,12.9
2019,Waterford County,10.1
2019,Galway City,11.4
2019,Galway County,12.6
2019,Leitrim,12.9
2019,Mayo,11.1
2019,Roscommon,12.3
2019,Sligo,11.2
2019,Ulster (part of),11.5
2019,Cavan,12.4
2019,Donegal,11.0
2019,Monaghan,11.7
2019,Border,11.6
2019,Midland,12.3
2019,West,11.9
2019,Dublin,12.5
2019,Mid-East,12.6
2019,Mid-West,11.5
2019,South-East,11.5
2019,South-West,11.4
2020,Carlow,12.6
2020,Dublin City,11.3
2020,South Dublin,12.6
2020,Fingal,12.9
2020,Dun Laoghaire-Rathdown,10.1
2020,Kildare,12.7
2020,Kilkenny,9.8
2020,Laois,10.7
2020,Longford,12.5
2020,Louth,11.7
2020,Meath,11.9
2020,Offaly,11.1
2020,Westmeath,12.8
2020,Wexford,10.9
2020,Wicklow,10.9
2020,Clare,10.6
2020,Cork City,9.9
2020,Cork County,11.8
2020,Kerry,9.8
2020,Limerick City,12.1
2020,Limerick County,11.8
2020,Tipperary,10.8
2020,North Tipperary,
2020,South Tipperary,
2020,Waterford City,12.5
2020,Waterford County,10.3
2020,Galway City,10.4
2020,Galway County,11.4
2020,Leitrim,11.5
2020,Mayo,10.1
2020,Roscommon,10.6
2020,Sligo,11.1
2020,Ulster (part of),11.4
2020,Cavan,12.9
2020,Donegal,10.4
2020,Monaghan,12.0
2020,Border,11.3
2020,Midland,11.7
2020,West,10.7
2020,Dublin,11.7
2020,Mid-East,11.9
2020,Mid-West,11.2
2020,South-East,11.0
2020,South-West,11.0
2021,Carlow,12.6
2021,Dublin City,11.8
2021,South Dublin,15.4
2021,Fingal,13.4
2021,Dun Laoghaire-Rathdown,9.0
2021,Kildare,12.7
2021,Kilkenny,10.6
2021,Laois,11.8
2021,Longford,12.6
2021,Louth,12.1
2021,Meath,13.2
2021,Offaly,11.6
2021,Westmeath,13.0
2021,Wexford,11.4
2021,Wicklow,11.7
2021,Clare,11.0
2021,Cork City,10.3
2021,Cork County,12.2
2021,Kerry,11.0
2021,Limerick City,12.5
2021,Limerick County,11.4
2021,Tipperary,12.1
2021,North Tipperary,
2021,South Tipperary,
2021,Waterford City,12.8
2021,Waterford County,10.2
2021,Galway City,10.7
2021,Galway County,12.6
2021,Leitrim,12.1
2021,Mayo,11.0
2021,Roscommon,11.3
2021,Sligo,11.4
2021,Ulster (part of),11.4
2021,Cavan,12.2
2021,Donegal,10.4
2021,Monaghan,13.1
2021,Border,11.5
2021,Midland,12.2
2021,West,11.6
2021,Dublin,12.2
2021,Mid-East,12.5
2021,Mid-West,11.6
2021,South-East,11.3
2021,South-West,11.6
2022,Carlow,11.6
2022,Dublin City,10.8
2022,South Dublin,11.7
2022,Fingal,11.0
2022,Dun Laoghaire-Rathdown,8.7
2022,Kildare,11.2
2022,Kilkenny,9.7
2022,Laois,10.1
2022,Longford,11.0
2022,Louth,11.0
2022,Meath,11.5
2022,Offaly,9.9
2022,Westmeath,11.3
2022,Wexford,10.5
2022,Wicklow,10.2
2022,Clare,9.6
2022,Cork City,8.7
2022,Cork County,10.5
2022,Kerry,9.2
2022,Limerick City,11.9
2022,Limerick County,10.4
2022,Tipperary,10.1
2022,North Tipperary,
2022,South Tipperary,
2022,Waterford City,12.4
2022,Waterford County,9.5
2022,Galway City,8.4
2022,Galway County,11.5
2022,Leitrim,11.0
2022,Mayo,10.0
2022,Roscommon,9.8
2022,Sligo,9.5
2022,Ulster (part of),10.5
2022,Cavan,12.1
2022,Donegal,9.8
2022,Monaghan,10.5
2022,Border,10.4
2022,Midland,10.5
2022,West,10.3
2022,Dublin,10.7
2022,Mid-East,11.1
2022,Mid-West,10.3
2022,South-East,10.5
2022,South-West,9.9
2023,Carlow,10.4
2023,Dublin City,10.3
2023,South Dublin,11.2
2023,Fingal,10.8
2023,Dun Laoghaire-Rathdown,9.0
2023,Kildare,11.9
2023,Kilkenny,9.4
2023,Laois,10.2
2023,Longford,11.2
2023,Louth,10.9
2023,Meath,11.8
2023,Offaly,10.0
2023,Westmeath,11.1
2023,Wexford,10.6
2023,Wicklow,9.8
2023,Clare,9.4
2023,Cork City,9.1
2023,Cork County,10.0
2023,Kerry,8.8
2023,Limerick City,12.1
2023,Limerick County,10.0
2023,Tipperary,9.9
2023,North Tipperary,
2023,South Tipperary,
2023,Waterford City,12.1
2023,Waterford County,8.6
2023,Galway City,8.7
2023,Galway County,11.0
2023,Leitrim,9.3
2023,Mayo,9.5
2023,Roscommon,9.6
2023,Sligo,9.9
2023,Ulster (part of),10.7
2023,Cavan,11.8
2023,Donegal,10.0
2023,Monaghan,11.0
2023,Border,10.4
2023,Midland,10.5
2023,West,10.0
2023,Dublin,10.4
2023,Mid-East,11.2
2023,Mid-West,10.1
2023,South-East,10.1
2023,South-West,9.6
